Sample,Site,Species,Group,Sex,Repro,RepSex,Indiv,Comp,RT,Area
t29_usmP1SI,TZ,SIMP,SITZ,Female,Reproductive,Repro_Female,P1SITZ,B066,16.006,65291822
t57_usmO1SI,TZ,SIMP,SITZ,Female,Non-repro,Non-repro_Female,O1SITZ,B066,16.016,50791501
t40_smJ1SI,TZ,SIMP,SITZ,Female,Non-repro,Non-repro_Female,J1SITZ,B066,16.02,45236266
t18_usmP1SI,TZ,SIMP,SITZ,Female,Reproductive,Repro_Female,P1SITZ,B067,16.048,122760940
t22_usmP2SI,TZ,SIMP,SITZ,Male,Reproductive,Repro_Male,P2SITZ,B067,16.133,330590325
t17_smP1SI,TZ,SIMP,SITZ,Female,Reproductive,Repro_Female,P1SITZ,B067,16.141,197570003
p62_smP2SO,PW,SOED,SOPW,Male,Reproductive,Repro_Male,P2SOPW,B067,16.144,59308346
p66_smJ2SO,PW,SOED,SOPW,Male,Non-repro,Non-repro_Male,J2SOPW,B067,16.147,99024638
p63_smP2SO,PW,SOED,SOPW,Male,Reproductive,Repro_Male,P2SOPW,B067,16.151,36355132
t29_usmP1SI,TZ,SIMP,SITZ,Female,Reproductive,Repro_Female,P1SITZ,B068,16.236,47337435
t18_usmP1SI,TZ,SIMP,SITZ,Female,Reproductive,Repro_Female,P1SITZ,B068,16.243,52515837
t40_smJ1SI,TZ,SIMP,SITZ,Female,Non-repro,Non-repro_Female,J1SITZ,B068,16.243,38663401
t22_usmP2SI,TZ,SIMP,SITZ,Male,Reproductive,Repro_Male,P2SITZ,B068,16.311,216663556
t31_smO1SI,TZ,SIMP,SITZ,Female,Non-repro,Non-repro_Female,O1SITZ,B068,16.314,147137284
t34_smP1SI,TZ,SIMP,SITZ,Female,Reproductive,Repro_Female,P1SITZ,B068,16.318,68613774
t17_smP1SI,TZ,SIMP,SITZ,Female,Reproductive,Repro_Female,P1SITZ,B068,16.321,102240972
p53_smO1SO,PW,SOED,SOPW,Female,Non-repro,Non-repro_Female,O1SOPW,B069,16.325,89173657
p62_smP2SO,PW,SOED,SOPW,Male,Reproductive,Repro_Male,P2SOPW,B069,16.35,223828151
t29_usmP1SI,TZ,SIMP,SITZ,Female,Reproductive,Repro_Female,P1SITZ,B070,16.58,161369825
t60_smJ2SI,TZ,SIMP,SITZ,Male,Non-repro,Non-repro_Male,J2SITZ,B070,16.584,45434749
t62_smO2SI,TZ,SIMP,SITZ,Male,Non-repro,Non-repro_Male,O2SITZ,B070,16.584,54105086
t40_smJ1SI,TZ,SIMP,SITZ,Female,Non-repro,Non-repro_Female,J1SITZ,B070,16.587,131968462
t18_usmP1SI,TZ,SIMP,SITZ,Female,Reproductive,Repro_Female,P1SITZ,B070,16.591,97544705
t39_smO1SI,TZ,SIMP,SITZ,Female,Non-repro,Non-repro_Female,O1SITZ,B070,16.591,113643039
t57_usmO1SI,TZ,SIMP,SITZ,Female,Non-repro,Non-repro_Female,O1SITZ,B070,16.591,157650344
t33_smP1SI,TZ,SIMP,SITZ,Female,Reproductive,Repro_Female,P1SITZ,B070,16.595,95337148
t38_smO1SI,TZ,SIMP,SITZ,Female,Non-repro,Non-repro_Female,O1SITZ,B070,16.602,87703666
t59_smO2SI,TZ,SIMP,SITZ,Male,Non-repro,Non-repro_Male,O2SITZ,B070,16.602,100688879
d35_usmP1SO,DM,SOED,SODM,Female,Reproductive,Repro_Female,P1SODM,B071,16.659,121164234
t22_usmP2SI,TZ,SIMP,SITZ,Male,Reproductive,Repro_Male,P2SITZ,B070,16.672,338620153
t31_smO1SI,TZ,SIMP,SITZ,Female,Non-repro,Non-repro_Female,O1SITZ,B070,16.676,136740436
t44_usmP1SI,TZ,SIMP,SITZ,Female,Reproductive,Repro_Female,P1SITZ,B070,16.676,169890504
t17_smP1SI,TZ,SIMP,SITZ,Female,Reproductive,Repro_Female,P1SITZ,B070,16.68,154180608
t34_smP1SI,TZ,SIMP,SITZ,Female,Reproductive,Repro_Female,P1SITZ,B070,16.68,164728724
p68_smO2SO,PW,SOED,SOPW,Male,Non-repro,Non-repro_Male,O2SOPW,B072,16.687,26813390
p28_smO1SO,PW,SOED,SOPW,Female,Non-repro,Non-repro_Female,O1SOPW,B072,16.69,66700287
p32_smP1SO,PW,SOED,SOPW,Female,Reproductive,Repro_Female,P1SOPW,B072,16.69,29505232
d71_smP1SI,DM,SIMP,SIDM,Female,Reproductive,Repro_Female,P1SIDM,B072,16.701,58347897
t22_usmP2SI,TZ,SIMP,SITZ,Male,Reproductive,Repro_Male,P2SITZ,B073,16.768,57273929
t17_smP1SI,TZ,SIMP,SITZ,Female,Reproductive,Repro_Female,P1SITZ,B073,16.783,55008222
