Sample,Site,Species,Group,Sex,Repro,RepSex,Indiv,Comp,RT,Area
t34_smP1SI,TZ,SIMP,SITZ,Female,Reproductive,Repro_Female,P1SITZ,B105,23.188,88419721
d61_smP1SI,DM,SIMP,SIDM,Female,Reproductive,Repro_Female,P1SIDM,B107,23.238,1622337410
d19_smP1SO,DM,SOED,SODM,Female,Reproductive,Repro_Female,P1SODM,B107,23.241,161271240
t60_smJ2SI,TZ,SIMP,SITZ,Male,Non-repro,Non-repro_Male,J2SITZ,B108,23.319,32200027
t29_usmP1SI,TZ,SIMP,SITZ,Female,Reproductive,Repro_Female,P1SITZ,B108,23.326,49902901
p62_smP2SO,PW,SOED,SOPW,Male,Reproductive,Repro_Male,P2SOPW,B109,23.326,98580213
t33_smP1SI,TZ,SIMP,SITZ,Female,Reproductive,Repro_Female,P1SITZ,B108,23.337,25696443
t18_usmP1SI,TZ,SIMP,SITZ,Female,Reproductive,Repro_Female,P1SITZ,B108,23.34,22836087
t59_smO2SI,TZ,SIMP,SITZ,Male,Non-repro,Non-repro_Male,O2SITZ,B108,23.344,27728009
t18_usmP1SI,TZ,SIMP,SITZ,Female,Reproductive,Repro_Female,P1SITZ,B110,23.436,29745580
t22_usmP2SI,TZ,SIMP,SITZ,Male,Reproductive,Repro_Male,P2SITZ,B108,23.45,82015822
t17_smP1SI,TZ,SIMP,SITZ,Female,Reproductive,Repro_Female,P1SITZ,B108,23.458,52855616
d61_smP1SI,DM,SIMP,SIDM,Female,Reproductive,Repro_Female,P1SIDM,B108,23.465,426539484
d37_smP1SI,DM,SIMP,SIDM,Female,Reproductive,Repro_Female,P1SIDM,B108,23.472,95889322
d71_smP1SI,DM,SIMP,SIDM,Female,Reproductive,Repro_Female,P1SIDM,B108,23.472,87272478
d15_smP1SO,DM,SOED,SODM,Female,Reproductive,Repro_Female,P1SODM,B108,23.472,49359448
t22_usmP2SI,TZ,SIMP,SITZ,Male,Reproductive,Repro_Male,P2SITZ,B111,23.546,60551340
t31_smO1SI,TZ,SIMP,SITZ,Female,Non-repro,Non-repro_Female,O1SITZ,B111,23.549,32778205
t17_smP1SI,TZ,SIMP,SITZ,Female,Reproductive,Repro_Female,P1SITZ,B111,23.561,57208389
