factor,rank,comp,average,sd,ratio,ava,avb,cumsum
Repro. Status,104,B109,0.000888,0.003891,0.2282,0.0517,0,0.97725
Repro. Status,105,B085,0.0008859,0.003242,0.2732,0,0.04229,0.97859
Repro. Status,106,B047,0.0008315,0.003034,0.274,0,0.04486,0.97984
Repro. Status,107,B071,0.0008209,0.0036,0.228,0.04185,0,0.98108
Repro. Status,108,B019,0.0007963,0.003489,0.2283,0.04745,0,0.98229
Repro. Status,109,B062,0.0007944,0.002899,0.274,0,0.04286,0.98349
Repro. Status,110,B063,0.0007561,0.002759,0.274,0,0.04079,0.98463
Repro. Status,111,B095,0.0007544,0.003305,0.2283,0.04495,0,0.98577
Repro. Status,112,B106,0.0007467,0.002733,0.2732,0,0.03564,0.9869
Repro. Status,113,B052,0.0007334,0.002674,0.2743,0,0.04129,0.988
Repro. Status,114,B023,0.0006722,0.002945,0.2283,0.0403,0,0.98902
Repro. Status,115,B004,0.0006644,0.00291,0.2283,0.0399,0,0.99002
Repro. Status,116,B013,0.0006639,0.002912,0.228,0.03385,0,0.99103
Repro. Status,117,B026,0.0006496,0.002846,0.2283,0.03895,0,0.99201
Repro. Status,118,B078,0.0006335,0.002773,0.2284,0.04335,0,0.99297
Repro. Status,119,B074,0.0006246,0.002736,0.2283,0.03745,0,0.99391
Repro. Status,120,B029,0.0005904,0.002584,0.2284,0.0404,0,0.9948
Repro. Status,121,B009,0.0005645,0.002473,0.2283,0.0339,0,0.99566
Repro. Status,122,B114,0.0005505,0.002412,0.2282,0.03205,0,0.99649
Repro. Status,123,B094,0.0005287,0.002316,0.2283,0.03175,0,0.99729
Repro. Status,124,B092,0.000512,0.002243,0.2283,0.03075,0,0.99806
Repro. Status,125,B011,0.0004751,0.002082,0.2282,0.0269,0,0.99878
Repro. Status,126,B048,0.0004304,0.001886,0.2283,0.02585,0,0.99943
Repro. Status,127,B128,0.0003789,0.00166,0.2282,0.02145,0,1
