factor,rank,comp,average,sd,ratio,ava,avb,cumsum
Species,85,B113,0.0015601,0.004123,0.3784,0.0924,0,0.94067
Species,86,B022,0.0015437,0.005853,0.2637,0.073,0,0.94287
Species,87,B122,0.0015034,0.005689,0.2642,0.07753,0,0.94502
Species,88,B033,0.0014975,0.004401,0.3403,0,0.09432,0.94716
Species,89,B002,0.0014472,0.004124,0.3509,0.04453,0.03532,0.94923
Species,90,B076,0.001424,0.006093,0.2337,0,0.07895,0.95126
Species,91,B100,0.0014084,0.004168,0.3379,0,0.08958,0.95327
Species,92,B025,0.0014035,0.003857,0.3639,0.071,0,0.95528
Species,93,B089,0.0014012,0.004203,0.3333,0,0.08584,0.95728
Species,94,B061,0.0013844,0.005249,0.2637,0.06547,0,0.95926
Species,95,B040,0.0013599,0.005825,0.2335,0,0.07032,0.9612
Species,96,B018,0.0013591,0.005134,0.2647,0.0774,0,0.96314
Species,97,B115,0.0013225,0.004994,0.2648,0.07713,0,0.96503
Species,98,B010,0.0013224,0.004989,0.2651,0.08213,0,0.96692
Species,99,B109,0.0012105,0.004573,0.2647,0.06893,0,0.96865
Species,100,B001,0.0011581,0.004955,0.2337,0,0.06484,0.9703
Species,101,B071,0.001124,0.004257,0.264,0.0558,0,0.97191
Species,102,B019,0.0010847,0.004096,0.2648,0.06327,0,0.97346
Species,103,B077,0.0010576,0.004525,0.2337,0,0.05921,0.97497
Species,104,B110,0.0010472,0.004481,0.2337,0,0.05863,0.97646
Species,105,B095,0.0010276,0.00388,0.2648,0.05993,0,0.97793
Species,106,B045,0.0009284,0.003518,0.2639,0.04507,0,0.97926
Species,107,B023,0.0009154,0.003456,0.2648,0.05373,0,0.98056
Species,108,B013,0.0009092,0.003443,0.264,0.04513,0,0.98186
Species,109,B026,0.0008848,0.003341,0.2648,0.05193,0,0.98313
Species,110,B034,0.0008643,0.003697,0.2338,0,0.04942,0.98436
Species,111,B074,0.0008507,0.003212,0.2648,0.04993,0,0.98558
Species,112,B085,0.000813,0.003081,0.2639,0.03947,0,0.98674
Species,113,B047,0.0007649,0.002891,0.2645,0.04187,0,0.98783
Species,114,B114,0.0007504,0.002835,0.2647,0.04273,0,0.9889
Species,115,B062,0.0007308,0.002763,0.2645,0.04,0,0.98995
