factor;rank;comp;name;average;sd;ratio;ava;avb;cumsum
Species;31;B119;#38_2-Methyldecyl propanoate;0.0078083;0.012843;0.608;0.35687;0.06247;0.68239
Species;32;B030;#08_Anisole;0.0072249;0.011818;0.6114;0.15727;0.23089;0.69271
Species;33;B049;#16_Benzeneacetaldehyde;0.0071738;0.008232;0.8715;0.26633;0.24937;0.70296
Species;34;B120;#39_Branched C16 alkane 1;0.0067876;0.012453;0.5451;0;0.356;0.71265
Species;35;B024;#06_Methylcycloheptanone;0.0063288;0.010759;0.5882;0.12333;0.26668;0.7217
Species;36;B125;#41_Branched C18 alkane;0.0053412;0.012443;0.4292;0;0.25763;0.72932
Species;37;B097;#30_Glycerol 1,2-diacetate;0.005211;0.015364;0.3392;0.08693;0.13489;0.73677
Species;38;B104;#33_Unknown 2;0.0051387;0.01199;0.4286;0.23807;0;0.74411
Species;39;B046;#15_Butanamide;0.0051209;0.008219;0.6231;0;0.28074;0.75142
Species;40;B014;#03_Furfural;0.0049476;0.006861;0.7211;0.0824;0.21674;0.75849
Species;43;B036;#11_1,3,5-Trimethylbenzene;0.0044595;0.009229;0.4832;0.25053;0;0.77857
